Sample,Assay,Well,Spot,Dilution,Concentration,Signal,Adjusted Signal,Mean,Adj. Sig. Mean,CV,% Recovery,% Recovery Mean,Calc. Concentration,Calc. Conc. Mean,Calc. Conc. CV
IVS_379_M0_Veh,IL-2,A04,3,2,,1287,1287,1287,1287,NaN,,,1.486945718,1.486945718,NaN
IVS_379_M0_Veh,IL-4,A04,4,2,,1063,1063,1063,1063,NaN,,,0.524895138,0.524895138,NaN
IVS_379_M0_Veh,IL-6,A04,5,2,,27230,27230,27230,27230,NaN,,,91.34035781,91.34035781,NaN
IVS_379_M0_Veh,IL-8,A04,6,2,,1529152,1529152,1529152,1529152,NaN,,,6627.010203,6627.010203,NaN
IVS_379_M0_Veh,TNF-α,A04,10,2,,9344,9344,9344,9344,NaN,,,31.33693377,31.33693377,NaN
IVS_379_M2_M1,Eotaxin,D04,1,4,,4285,4285,4285,4285,NaN,,,177.7122967,177.7122967,NaN
IVS_379_M2_M1,Eotaxin-3,D04,3,4,,1059,1059,1059,1059,NaN,,,56.09818722,56.09818722,NaN
IVS_379_M2_M1,IL-8,D04,7,4,,232244,232244,232244,232244,NaN,,,223074.7012,223074.7012,NaN
IVS_379_M2_M1,IP-10,D04,5,4,,1426511,1426511,1426511,1426511,NaN,,,323782.2744,NaN,NaN
IVS_379_M2_M1,MCP-1,D04,8,4,,1616319,1616319,1616319,1616319,NaN,,,8915.353706,8915.353706,NaN
IVS_379_M2_M1,MCP-4,D04,10,4,,332894,332894,332894,332894,NaN,,,23646.33671,NaN,NaN
IVS_379_M2_M1,MDC,D04,9,4,,1425521,1425521,1425521,1425521,NaN,,,60651.61813,60651.61813,NaN
IVS_379_M2_M1,MIP-1α,D04,6,4,,1512873,1512873,1512873,1512873,NaN,,,8181.160962,8181.160962,NaN
IVS_379_M2_M1,MIP-1β,D04,2,4,,1621877,1621877,1621877,1621877,NaN,,,6944.837119,6944.837119,NaN
IVS_379_M2_M1,TARC,D04,4,4,,661939,661939,661939,661939,NaN,,,6890.267399,6890.267399,NaN
IVS_379_M2_M1,GM-CSF,D04,1,2,,9126,9126,9126,9126,NaN,,,46.84271283,46.84271283,NaN
IVS_379_M2_M1,IL-12p40,D04,5,2,,1235438,1235438,1235438,1235438,NaN,,,35118.52249,35118.52249,NaN
IVS_379_M2_M1,IL-15,D04,6,2,,2233,2233,2233,2233,NaN,,,5.772058967,5.772058967,NaN
IVS_379_M2_M1,IL-16,D04,7,2,,1226,1226,1226,1226,NaN,,,35.05532836,35.05532836,NaN
IVS_379_M2_M1,IL-17,D04,8,2,,2260,2260,2260,2260,NaN,,,21.65443228,21.65443228,NaN
IVS_379_M2_M1,IL-1α,D04,2,2,,10038,10038,10038,10038,NaN,,,49.74385554,49.74385554,NaN
IVS_379_M2_M1,IL-5,D04,3,2,,4942,4942,4942,4942,NaN,,,13.46899121,13.46899121,NaN
IVS_379_M2_M1,IL-7,D04,4,2,,2046,2046,2046,2046,NaN,,,8.82737388,8.82737388,NaN
IVS_379_M2_M1,TNF-β,D04,9,2,,27437,27437,27437,27437,NaN,,,156.0079237,156.0079237,NaN
IVS_379_M2_M1,VEGF,D04,10,2,,17195,17195,17195,17195,NaN,,,163.2416384,163.2416384,NaN
IVS_379_M2_M1,IFN-γ,D04,1,2,,168514,168514,168514,168514,NaN,,,2924.086916,2924.086916,NaN
IVS_379_M2_M1,IL-10,D04,7,2,,598291,598291,598291,598291,NaN,,,1797.126958,1797.126958,NaN
IVS_379_M2_M1,IL-12p70,D04,8,2,,164905,164905,164905,164905,NaN,,,816.1215464,816.1215464,NaN
IVS_379_M2_M1,IL-13,D04,9,2,,11517,11517,11517,11517,NaN,,,57.24961125,57.24961125,NaN
IVS_379_M2_M1,IL-1β,D04,2,2,,43027,43027,43027,43027,NaN,,,44.28409603,44.28409603,NaN
IVS_379_M2_M1,IL-2,D04,3,2,,4014,4014,4014,4014,NaN,,,8.417134425,8.417134425,NaN
IVS_379_M2_M1,IL-4,D04,4,2,,35653,35653,35653,35653,NaN,,,35.76434581,35.76434581,NaN
IVS_379_M2_M1,IL-6,D04,5,2,,1567878,1567878,1567878,1567878,NaN,,,6263.841222,6263.841222,NaN
IVS_379_M2_M1,IL-8,D04,6,2,,1530573,1530573,1530573,1530573,NaN,,,6634.176924,6634.176924,NaN
IVS_379_M2_M1,TNF-α,D04,10,2,,1806354,1806354,1806354,1806354,NaN,,,7981.207729,7981.207729,NaN
IVS_379_M2_M1+PM,Eotaxin,H04,1,4,,3231,3231,3231,3231,NaN,,,141.5596648,141.5596648,NaN
IVS_379_M2_M1+PM,Eotaxin-3,H04,3,4,,1385,1385,1385,1385,NaN,,,78.3284632,78.3284632,NaN
IVS_379_M2_M1+PM,IL-8,H04,7,4,,503640,503640,503640,503640,NaN,,,421800.1534,421800.1534,NaN
IVS_379_M2_M1+PM,IP-10,H04,5,4,,1426942,1426942,1426942,1426942,NaN,,,323782.2744,NaN,NaN
IVS_379_M2_M1+PM,MCP-1,H04,8,4,,1800621,1800621,1800621,1800621,NaN,,,9937.781206,9937.781206,NaN
IVS_379_M2_M1+PM,MCP-4,H04,10,4,,444969,444969,444969,444969,NaN,,,23646.33671,NaN,NaN
IVS_379_M2_M1+PM,MDC,H04,9,4,,769805,769805,769805,769805,NaN,,,34063.62819,34063.62819,NaN
IVS_379_M2_M1+PM,MIP-1α,H04,6,4,,1509610,1509610,1509610,1509610,NaN,,,8169.747711,8169.747711,NaN
IVS_379_M2_M1+PM,MIP-1β,H04,2,4,,1627348,1627348,1627348,1627348,NaN,,,6963.568667,6963.568667,NaN
IVS_379_M2_M1+PM,TARC,H04,4,4,,295048,295048,295048,295048,NaN,,,2861.949708,2861.949708,NaN
IVS_379_M2_M1+PM,GM-CSF,H04,1,2,,18680,18680,18680,18680,NaN,,,111.687853,111.687853,NaN
IVS_379_M2_M1+PM,IL-12p40,H04,5,2,,218977,218977,218977,218977,NaN,,,4060.147933,4060.147933,NaN
IVS_379_M2_M1+PM,IL-15,H04,6,2,,2074,2074,2074,2074,NaN,,,5.248804601,5.248804601,NaN
IVS_379_M2_M1+PM,IL-16,H04,7,2,,1122,1122,1122,1122,NaN,,,32.0267163,32.0267163,NaN
IVS_379_M2_M1+PM,IL-17,H04,8,2,,2327,2327,2327,2327,NaN,,,22.49061312,22.49061312,NaN
IVS_379_M2_M1+PM,IL-1α,H04,2,2,,6498,6498,6498,6498,NaN,,,29.65361657,29.65361657,NaN
IVS_379_M2_M1+PM,IL-5,H04,3,2,,464,464,464,464,NaN,,,0.073566107,0.073566107,NaN
IVS_379_M2_M1+PM,IL-7,H04,4,2,,1299,1299,1299,1299,NaN,,,4.860940832,4.860940832,NaN
IVS_379_M2_M1+PM,TNF-β,H04,9,2,,9102,9102,9102,9102,NaN,,,45.76946938,45.76946938,NaN
IVS_379_M2_M1+PM,VEGF,H04,10,2,,8308,8308,8308,8308,NaN,,,81.20196076,81.20196076,NaN
IVS_379_M2_M1+PM,IFN-γ,H04,1,2,,181264,181264,181264,181264,NaN,,,3167.598491,3167.598491,NaN
IVS_379_M2_M1+PM,IL-10,H04,7,2,,332232,332232,332232,332232,NaN,,,917.6993845,917.6993845,NaN
IVS_379_M2_M1+PM,IL-12p70,H04,8,2,,11942,11942,11942,11942,NaN,,,39.49307564,39.49307564,NaN
IVS_379_M2_M1+PM,IL-13,H04,9,2,,16206,16206,16206,16206,NaN,,,74.67755477,74.67755477,NaN
IVS_379_M2_M1+PM,IL-1β,H04,2,2,,31886,31886,31886,31886,NaN,,,30.90065258,30.90065258,NaN
IVS_379_M2_M1+PM,IL-2,H04,3,2,,3372,3372,3372,3372,NaN,,,6.674305668,6.674305668,NaN
IVS_379_M2_M1+PM,IL-4,H04,4,2,,56381,56381,56381,56381,NaN,,,60.49118594,60.49118594,NaN
IVS_379_M2_M1+PM,IL-6,H04,5,2,,1538579,1538579,1538579,1538579,NaN,,,6141.857439,6141.857439,NaN
IVS_379_M2_M1+PM,IL-8,H04,6,2,,1528574,1528574,1528574,1528574,NaN,,,6624.095414,6624.095414,NaN
IVS_379_M2_M1+PM,TNF-α,H04,10,2,,1835763,1835763,1835763,1835763,NaN,,,8117.299138,8117.299138,NaN
IVS_379_M2_PM,Eotaxin,F04,1,4,,2221,2221,2221,2221,NaN,,,104.0000905,104.0000905,NaN
IVS_379_M2_PM,Eotaxin-3,F04,3,4,,1119,1119,1119,1119,NaN,,,60.11917295,60.11917295,NaN
IVS_379_M2_PM,IL-8,F04,7,4,,627299,627299,627299,627299,NaN,,,505350.4971,505350.4971,NaN
IVS_379_M2_PM,IP-10,F04,5,4,,33211,33211,33211,33211,NaN,,,189.534007,189.534007,NaN
IVS_379_M2_PM,MCP-1,F04,8,4,,1786499,1786499,1786499,1786499,NaN,,,9859.413185,9859.413185,NaN
IVS_379_M2_PM,MCP-4,F04,10,4,,539470,539470,539470,539470,NaN,,,23646.33671,NaN,NaN
IVS_379_M2_PM,MDC,F04,9,4,,1653528,1653528,1653528,1653528,NaN,,,69692.63522,69692.63522,NaN
IVS_379_M2_PM,MIP-1α,F04,6,4,,1484628,1484628,1484628,1484628,NaN,,,8082.083128,8082.083128,NaN
IVS_379_M2_PM,MIP-1β,F04,2,4,,1599341,1599341,1599341,1599341,NaN,,,6867.548313,6867.548313,NaN
IVS_379_M2_PM,TARC,F04,4,4,,1811637,1811637,1811637,1811637,NaN,,,20569.68071,20569.68071,NaN
IVS_379_M2_PM,GM-CSF,F04,1,2,,37421,37421,37421,37421,NaN,,,257.8473908,257.8473908,NaN
IVS_379_M2_PM,IL-12p40,F04,5,2,,179781,179781,179781,179781,NaN,,,3175.015455,3175.015455,NaN
IVS_379_M2_PM,IL-15,F04,6,2,,633,633,633,633,NaN,,,1.008663908,1.008663908,NaN
IVS_379_M2_PM,IL-16,F04,7,2,,1586,1586,1586,1586,NaN,,,45.21437634,45.21437634,NaN
IVS_379_M2_PM,IL-17,F04,8,2,,3133,3133,3133,3133,NaN,,,32.93883796,32.93883796,NaN
IVS_379_M2_PM,IL-1α,F04,2,2,,14566,14566,14566,14566,NaN,,,76.70086633,76.70086633,NaN
IVS_379_M2_PM,IL-5,F04,3,2,,606,606,606,606,NaN,,,0.342528234,0.342528234,NaN
IVS_379_M2_PM,IL-7,F04,4,2,,776,776,776,776,NaN,,,2.332820354,2.332820354,NaN
IVS_379_M2_PM,TNF-β,F04,9,2,,2093,2093,2093,2093,NaN,,,7.938358793,7.938358793,NaN
IVS_379_M2_PM,VEGF,F04,10,2,,104868,104868,104868,104868,NaN,,,889.5455849,889.5455849,NaN
IVS_379_M2_PM,IFN-γ,F04,1,2,,661,661,661,661,NaN,,,2.018209116,2.018209116,NaN
IVS_379_M2_PM,IL-10,F04,7,2,,91180,91180,91180,91180,NaN,,,209.1201458,209.1201458,NaN
IVS_379_M2_PM,IL-12p70,F04,8,2,,2899,2899,2899,2899,NaN,,,6.869486924,6.869486924,NaN
IVS_379_M2_PM,IL-13,F04,9,2,,7612,7612,7612,7612,NaN,,,41.34899123,41.34899123,NaN
IVS_379_M2_PM,IL-1β,F04,2,2,,52436,52436,52436,52436,NaN,,,55.88835468,55.88835468,NaN
IVS_379_M2_PM,IL-2,F04,3,2,,2162,2162,2162,2162,NaN,,,3.551016108,3.551016108,NaN
IVS_379_M2_PM,IL-4,F04,4,2,,35644,35644,35644,35644,NaN,,,35.75398275,35.75398275,NaN
IVS_379_M2_PM,IL-6,F04,5,2,,447086,447086,447086,447086,NaN,,,1695.204176,1695.204176,NaN
IVS_379_M2_PM,IL-8,F04,6,2,,1495485,1495485,1495485,1495485,NaN,,,6457.537939,6457.537939,NaN
IVS_379_M2_PM,TNF-α,F04,10,2,,1076839,1076839,1076839,1076839,NaN,,,4646.398997,4646.398997,NaN
IVS_379_M2_Veh,Eotaxin,B04,1,4,,1962,1962,1962,1962,NaN,,,93.71015083,93.71015083,NaN
IVS_379_M2_Veh,Eotaxin-3,B04,3,4,,437,437,437,437,NaN,,,17.01964203,17.01964203,NaN
IVS_379_M2_Veh,IL-8,B04,7,4,,3538,3538,3538,3538,NaN,,,6643.684692,6643.684692,NaN
IVS_379_M2_Veh,IP-10,B04,5,4,,106992,106992,106992,106992,NaN,,,683.9070828,683.9070828,NaN
IVS_379_M2_Veh,MCP-1,B04,8,4,,1746722,1746722,1746722,1746722,NaN,,,9638.698655,9638.698655,NaN
IVS_379_M2_Veh,MCP-4,B04,10,4,,792488,792488,792488,792488,NaN,,,23646.33671,NaN,NaN
IVS_379_M2_Veh,MDC,B04,9,4,,1655075,1655075,1655075,1655075,NaN,,,69753.69755,69753.69755,NaN
IVS_379_M2_Veh,MIP-1α,B04,6,4,,295286,295286,295286,295286,NaN,,,2858.6908,2858.6908,NaN
IVS_379_M2_Veh,MIP-1β,B04,2,4,,1498332,1498332,1498332,1498332,NaN,,,6518.465314,6518.465314,NaN
IVS_379_M2_Veh,TARC,B04,4,4,,231275,231275,231275,231275,NaN,,,2195.197494,2195.197494,NaN
IVS_379_M2_Veh,GM-CSF,B04,1,2,,680,680,680,680,NaN,,,1.480250354,1.480250354,NaN
IVS_379_M2_Veh,IL-12p40,B04,5,2,,1122,1122,1122,1122,NaN,,,4.362573417,4.362573417,NaN
IVS_379_M2_Veh,IL-15,B04,6,2,,179,179,179,179,NaN,,,0.040825592,0.040825592,NaN
IVS_379_M2_Veh,IL-16,B04,7,2,,1262,1262,1262,1262,NaN,,,36.09277576,36.09277576,NaN
IVS_379_M2_Veh,IL-17,B04,8,2,,168,168,168,168,NaN,,,0.035242115,0.035242115,NaN
IVS_379_M2_Veh,IL-1α,B04,2,2,,528,528,528,528,NaN,,,0.043959255,0.043959255,NaN
IVS_379_M2_Veh,IL-5,B04,3,2,,409,409,409,409,NaN,,,0.000257824,NaN,NaN
